Day,Open,High,Low,Close,Volume
20180309,22925,23540,22755,23205,13534647
20180312,23715,24570,23590,24570,13941155
20180313,24500,24640,24090,24490,12581804
20180314,24155,24550,24040,24495,7900877
20180315,24470,25045,24300,24590,12467645
20180316,24655,24855,24525,24760,8998497
20180319,24470,24760,23820,23820,9025269
20180320,23450,24765,23330,24765,12385053
20180321,24800,25170,24395,24395,16112498
20180322,24615,24895,23150,23380,15702819
20180323,22000,22480,20400,20505,26973606
20180326,20800,22110,20205,22100,22997275
20180327,22445,22500,22005,22100,10772046
20180328,21400,21795,21000,21640,14679295
20180329,21800,22790,21760,22790,13697330
20180330,22810,23035,22630,22765,11230257
20180402,22925,23040,22360,22400,8285034
20180403,21860,22795,21805,22795,10833794
20180404,22900,23030,22055,22350,11297692
20180405,22855,23095,22450,22690,11389886
20180406,22380,22745,22235,22680,7864023
20180409,22685,23125,22615,23125,8122988
20180410,23030,23195,22700,23130,9018107
20180411,23285,23385,23170,23270,7665418
20180412,23350,23400,22700,22700,8509003
20180413,22800,23290,22460,23120,10943023
20180416,23190,23370,23130,23215,6469615
20180417,23310,23310,22955,23180,4387905
20180418,23360,23385,22770,22770,7269692
20180419,22655,22715,21830,22000,13028715
20180420,22040,22370,21610,22115,8200793
20180423,21980,22150,21230,21320,9509299
20180424,21400,21625,20780,20855,7375201
20180425,20600,21060,20160,20700,10222065
20180426,20905,21280,20780,21280,7630317
20180427,21605,21870,21300,21870,7119908
20180430,21790,21820,20845,21020,9510334
20180502,20565,21280,20300,20600,8437860
20180503,20550,20840,20270,20270,5739815
20180504,20300,20375,19300,19300,7180560
20180508,19510,19860,17645,17700,10650750
20180509,17810,19145,16810,18970,20986724
20180510,18900,19140,18405,18860,9443744
20180511,18790,19635,18770,19330,9195998
20180514,19295,19380,18450,18460,8183269
20180515,18735,19060,18505,18910,7202506
20180516,18720,19240,18460,18795,7666083
20180517,18845,19160,18620,19160,5935713
20180518,19165,19815,19130,19770,7083975
20180521,19725,20125,19570,19700,7431293
20180523,19690,19835,19325,19680,5834686
20180524,19680,20205,19650,20125,7536058
20180525,19890,20570,19870,20530,7428142
20180528,20390,20725,20220,20660,5834727
20180529,20620,21025,18560,19845,8984498
20180530,20105,20360,19405,20360,8493867
20180531,20600,20640,20070,20550,5517671
20180601,20510,20920,20450,20655,5132115
20180604,20735,20735,19920,20150,5150020
20180605,20310,20460,19775,20085,4401167
20180607,20220,20670,20095,20660,5059306
20180608,20540,20585,19965,20010,3799777
20180611,20100,20325,19900,20055,3139370
20180612,20085,20540,19850,20200,6210812
